ID,Unnamed: 0,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,Ensembl_ID
Xkr4,0,1.0,1.0,131.188,33.40675078,0.101670591,1.57460602,0.16919383,0.950564552,1.051750439,2.632173254,2.64506764,1.253869348,,1.217043392,2.46541957,1.632224749,1.302539475,1.489201377,1.026229427,1.091594198,ENSMUSG00000051951
Gm19938,1,0.54552996,1.0,127.229965,117.4458117,0.470428009,3.56378193,0.48375,1.950617268,4.002037269,2.632173254,4.032233219,2.365805982,2.153654575,3.898143561,5.172018758,1.632224749,4.523524481,3.566085915,4.441874195,3.748679497,ENSMUSG00000102331
Sox17,2,0.794542721,1.0,130.41103,56.04001044,0.110856938,7.715605605,0.2940776,0.980860605,7.946771662,7.507364928,8.116380465,7.554191582,7.781657879,7.817216059,7.507120811,8.23499291,7.871558255,6.86628313,7.759105265,6.983579985,ENSMUSG00000025902
Mrpl15,3,0.232324,0.82946724,127.227066,12.14928987,0.10946965,8.191736364,0.72181433,1.357689968,8.372853831,8.175212157,8.192116587,8.25576691,7.972068161,8.148847957,8.022004954,7.958778768,8.308603349,8.334075163,8.246573044,8.226936206,ENSMUSG00000033845
Lypla1,4,0.18045504,0.78079713,127.82197,20.34349806,0.156923212,8.037731088,0.6431294,1.261491637,8.271292625,7.889117406,8.292253865,8.022134355,8.030335486,7.939031449,8.170939468,7.616852524,7.820990854,8.029321911,8.196468273,8.034978858,ENSMUSG00000025903
Tcea1,5,0.821413305,1.0,128.72069,18.43788038,0.077262945,9.434945392,0.2860409,1.577347818,9.581351372,9.341783772,9.444423373,9.437545862,9.64618448,9.233021874,9.306225395,9.407840973,9.258762442,9.593824643,9.43993155,9.448911208,ENSMUSG00000033813
Atp6v1h,7,0.31741956,0.92327534,131.61966,123.5927245,0.169692243,7.798340861,0.72908306,1.505587192,7.921453014,7.457022015,7.91605123,7.247390127,7.735700896,7.895550842,7.951265521,7.585649877,7.678502469,7.947184546,8.096191162,7.863407377,ENSMUSG00000033793
Oprk1,8,0.009603528,0.470136038,129.13779,92.48812704,0.744917382,1.907054249,0.7412731,0.528513958,,,1.145840524,1.253869348,2.626276168,,2.46541957,2.867841089,,2.20622766,,1.705839885,ENSMUSG00000025905
Rb1cc1,9,0.95179536,1.0,129.31987,24.69827586,0.049863121,7.94181876,0.73798436,4.915571649,8.15118657,8.067482895,7.744457253,7.850981229,8.209137706,7.720857495,8.015715523,7.8047125,7.862495036,7.693739388,8.155092589,7.977868661,ENSMUSG00000025907
4732440D04Rik,10,0.783225,1.0,131.35814,35.54070514,0.272194584,3.323477982,0.48871464,2.815507337,4.852954298,3.752643767,2.735413958,4.975705328,1.446133133,3.360769767,2.73413388,3.765475299,3.180537388,2.683023979,3.632691292,2.7345405,ENSMUSG00000090031
Pcmtd1,11,0.88472836,1.0,128.24234,124.5034543,0.066632343,8.2495382,0.40686032,3.64000797,8.140254191,8.360075791,8.273528823,8.209271925,8.274883073,8.036876276,8.226459273,8.549913149,7.97609545,8.189730586,8.186235066,8.415569732,ENSMUSG00000051285
Gm26901,12,1.0,1.0,127.03701,38.41527944,0.709361175,4.2081767,0.20417559,0.925122051,4.266167414,4.809305259,4.262376884,5.154617398,5.345880759,4.383391324,3.972632457,1.632224749,3.900427772,5.067468139,4.048795395,3.482828356,ENSMUSG00000097797
Rrs1,13,0.04363921,0.470136038,127.173256,93.10516062,0.091972044,7.953515655,0.6238226,0.932746285,7.766560719,8.004613311,7.928074285,7.893611589,7.880002092,7.954523218,8.258773705,8.254964614,7.876068602,7.988837693,7.903518447,7.898025283,ENSMUSG00000061024
2610203C22Rik,15,0.71267364,1.0,127.807014,56.95513072,0.312581951,3.096730479,0.6091322,2.456337855,2.076945784,3.636810459,3.524878701,4.138947232,3.708559453,3.161595697,1.705508062,2.867841089,4.476776278,2.20622766,2.363669288,3.973080511,ENSMUSG00000079671
Mybl1,16,1.0,1.0,129.05284,71.88789158,0.267536798,4.029179128,0.1264899,1.45235759,4.266167414,5.14230342,3.419808631,4.617159168,3.887343948,2.799323923,5.59962104,3.972632576,4.378474328,3.327209704,4.136446378,2.960986794,ENSMUSG00000025912
Vcpip1,17,1.0,1.0,128.37383,53.12145494,0.066056672,7.473146324,0.14436217,1.48147914,7.404867714,7.395978419,7.472952866,7.733860483,7.508591767,7.6127257,7.375777543,7.487776226,7.289672603,7.925898141,7.211504679,7.305806945,ENSMUSG00000045210
Sgk3,19,0.92691539,1.0,130.41077,53.96434716,0.172719231,4.960870019,0.26611984,0.999082609,5.005321992,5.34045184,5.255160901,4.771422571,5.283361953,4.81538646,5.078560582,5.683633537,4.77606624,4.717138665,4.857520507,3.482828356,ENSMUSG00000025915
Mcmdc2,20,0.71639296,1.0,132.77254,107.7701686,0.381283409,3.556708642,0.37279162,2.476100195,4.095557673,2.632173254,2.900722025,3.594359138,2.626276168,4.078642077,3.621429308,2.867841089,4.77606624,3.040776928,4.573330518,4.073418839,ENSMUSG00000046101
Snhg6,21,0.254263406,0.856176588,127.10176,119.3503538,0.219067986,6.503896719,0.38626269,0.974246027,6.309834301,6.728352609,6.62094202,5.744765691,6.475135846,6.180579524,6.714604544,6.444537385,6.736024817,6.888460689,6.477661338,6.497555242,ENSMUSG00000098234
Cops5,22,0.16410601,0.759442823,131.34906,48.08116001,0.089132835,8.781310879,0.8817995,1.232163108,8.872973382,8.850761437,8.862585557,9.01935682,8.749759194,8.730991088,8.556117663,8.986062425,8.801292044,8.530197176,8.684857047,8.731862849,ENSMUSG00000025917
Cspp1,23,0.155236,0.749724687,131.96556,37.80534841,0.149854222,8.897626914,0.5030975,1.214949906,9.204817899,9.223792135,8.896023659,8.628148414,9.142104434,8.943871548,8.984222825,8.673775048,8.847957813,8.632291583,8.982623175,8.586617832,ENSMUSG00000056763
Arfgef1,24,1.0,1.0,129.2841,123.4572247,0.100684044,8.94886396,0.17275101,1.435403264,9.32313127,8.942049592,8.780084609,8.739844538,8.766997287,8.788308803,9.28022477,8.746114365,9.076776491,8.776022171,8.617909779,9.096236494,ENSMUSG00000067851
Cpa6,25,0.75777025,1.0,128.22975,61.22519645,0.361700411,3.195003357,0.6860709,2.675972591,3.08938035,3.049531219,3.306481091,2.709115706,4.549790982,3.450912452,4.416362758,2.867841089,2.432927484,2.683023979,3.955472733,2.135299061,ENSMUSG00000042501
Prex2,26,0.16826404,0.767208639,126.690765,70.57211544,0.296457555,7.326170969,0.75978696,1.239889131,7.552358482,7.322897194,6.597043303,7.885185697,7.535665144,7.32756275,7.507120811,7.662426515,7.316468886,6.84375932,7.452567729,6.996417251,ENSMUSG00000048960
A830018L16Rik,27,0.57988225,1.0,128.25995,83.69413985,0.233792088,5.236135126,0.520648,2.033247168,4.620994446,5.37701325,5.454521498,5.545303015,5.149558135,5.064154436,5.494992662,5.74140402,5.369195579,4.253486567,5.778947128,5.260255311,ENSMUSG00000057715
Sulf1,28,0.34806076,0.953102699,130.78716,45.79392892,0.058223015,8.759273648,0.35333964,1.389405557,8.872973382,8.926716687,8.728770112,8.956402388,8.666473857,8.66660617,8.715950633,8.774064125,8.827144804,8.530197176,8.738367061,8.716428026,ENSMUSG00000016918
Slco5a1,29,0.502074472,1.0,131.02762,60.47571014,0.60827522,5.143382271,0.32729843,1.367700555,5.005321992,5.86283597,5.093750413,6.015713456,4.837755579,4.848931391,5.728276094,5.112637822,5.729695585,3.040776928,5.004538599,5.302216472,ENSMUSG00000025938
Ncoa2,30,0.72216004,1.0,129.52286,78.33397156,0.095615893,7.172416777,0.4968918,2.496190207,7.601011867,6.810844943,7.003813138,7.207394956,7.319027258,7.081689655,7.141689624,7.125091426,7.582416671,7.054582349,7.170564136,7.071130734,ENSMUSG00000005886
Tram1,32,0.06320196,0.539255433,129.92212,14.47442323,0.199839238,9.432214813,0.6113841,0.999227725,9.377674657,9.870189962,9.59529816,9.543076975,9.027573711,9.236194343,9.381528669,9.272332447,9.274222546,9.552753894,9.509298722,9.35484949,ENSMUSG00000025935
Lactb2,33,0.88378801,1.0,127.205666,115.3988397,0.069594346,6.91539779,0.41332793,3.626898772,7.019760045,7.122146157,6.603055199,6.634025797,6.658732973,7.137049056,7.209389508,6.964566015,6.716037543,7.054582349,7.180908705,6.635249039,ENSMUSG00000025937
Eya1,34,0.88096996,1.0,128.97256,71.84317418,0.151574931,6.765128261,0.40718812,3.591901582,6.730072954,7.111336294,6.43797684,6.134222752,7.424182942,6.852827707,6.550268807,7.632204374,6.643817403,5.922246961,7.017366191,6.84850388,ENSMUSG00000025932
Msc,35,0.15256836,0.744315977,126.269775,46.22185551,0.22250479,4.560422874,0.5918123,1.210726227,4.095557673,4.861846034,4.950211876,4.975705328,5.002064057,4.472173863,4.490804868,4.153744776,4.476776278,4.50385902,4.441874195,4.338324371,ENSMUSG00000025930
Kcnb2,37,1.0,1.0,131.29668,56.42059076,0.377568558,6.537944201,0.12579647,1.010035732,6.773170872,6.797419634,6.36909139,6.269857841,6.296724218,6.342416733,6.88989645,6.811150524,6.3899869,5.739111536,5.958029747,6.805385425,ENSMUSG00000092083
Terf1,38,0.99480676,1.0,132.26758,37.89186996,0.025809337,8.382396366,0.72180635,9.608418477,8.386796079,8.308954154,8.541118997,7.991061034,8.603895899,8.57686491,8.095414116,8.194200437,8.801292044,8.435466244,8.21168326,8.439268859,ENSMUSG00000025925
Rpl7,40,0.56896849,1.0,127.05397,103.1284638,0.092915488,13.78522417,0.54016244,2.00647975,13.61727692,13.83176798,13.76157215,13.75402965,13.76235369,13.59026859,13.79721765,14.22173439,13.65327616,14.01634256,13.5879905,13.84404088,ENSMUSG00000043716
Rdh10,41,0.31685641,0.921985923,130.31207,55.99748841,0.211202922,6.745786051,0.53423566,1.5045772,7.320217925,6.377705991,6.952939334,6.593224104,7.56223981,6.487916788,6.324636354,7.34600667,6.859599472,6.513597557,5.80593203,6.442332135,ENSMUSG00000025921
