sample,Gene,value,group,replicate
A_TP_30_REP_1,Xkr4,1.051750439,Anterior,1
A_TP_30_REP_2,Xkr4,2.632173254,Anterior,2
A_TP_30_REP_3,Xkr4,2.64506764,Anterior,3
A_TP_60_REP_1,Xkr4,1.253869348,Anterior,1
A_TP_60_REP_3,Xkr4,1.217043392,Anterior,3
A_TP_90_REP_1,Xkr4,2.46541957,Anterior,1
A_TP_90_REP_2,Xkr4,1.632224749,Anterior,2
A_TP_90_REP_3,Xkr4,1.302539475,Anterior,3
A_TP_120_REP_1,Xkr4,1.489201377,Anterior,1
A_TP_120_REP_2,Xkr4,1.026229427,Anterior,2
A_TP_120_REP_3,Xkr4,1.091594198,Anterior,3
A_TP_30_REP_1,Gm19938,4.002037269,Anterior,1
A_TP_30_REP_2,Gm19938,2.632173254,Anterior,2
A_TP_30_REP_3,Gm19938,4.032233219,Anterior,3
A_TP_60_REP_1,Gm19938,2.365805982,Anterior,1
A_TP_60_REP_2,Gm19938,2.153654575,Anterior,2
A_TP_60_REP_3,Gm19938,3.898143561,Anterior,3
A_TP_90_REP_1,Gm19938,5.172018758,Anterior,1
A_TP_90_REP_2,Gm19938,1.632224749,Anterior,2
A_TP_90_REP_3,Gm19938,4.523524481,Anterior,3
A_TP_120_REP_1,Gm19938,3.566085915,Anterior,1
A_TP_120_REP_2,Gm19938,4.441874195,Anterior,2
A_TP_120_REP_3,Gm19938,3.748679497,Anterior,3
A_TP_30_REP_1,Sox17,7.946771662,Anterior,1
A_TP_30_REP_2,Sox17,7.507364928,Anterior,2
A_TP_30_REP_3,Sox17,8.116380465,Anterior,3
A_TP_60_REP_1,Sox17,7.554191582,Anterior,1
A_TP_60_REP_2,Sox17,7.781657879,Anterior,2
A_TP_60_REP_3,Sox17,7.817216059,Anterior,3
A_TP_90_REP_1,Sox17,7.507120811,Anterior,1
A_TP_90_REP_2,Sox17,8.23499291,Anterior,2
A_TP_90_REP_3,Sox17,7.871558255,Anterior,3
A_TP_120_REP_1,Sox17,6.86628313,Anterior,1
A_TP_120_REP_2,Sox17,7.759105265,Anterior,2
A_TP_120_REP_3,Sox17,6.983579985,Anterior,3
A_TP_30_REP_1,Mrpl15,8.372853831,Anterior,1
A_TP_30_REP_2,Mrpl15,8.175212157,Anterior,2
A_TP_30_REP_3,Mrpl15,8.192116587,Anterior,3
A_TP_60_REP_1,Mrpl15,8.25576691,Anterior,1
A_TP_60_REP_2,Mrpl15,7.972068161,Anterior,2
A_TP_60_REP_3,Mrpl15,8.148847957,Anterior,3
A_TP_90_REP_1,Mrpl15,8.022004954,Anterior,1
A_TP_90_REP_2,Mrpl15,7.958778768,Anterior,2
A_TP_90_REP_3,Mrpl15,8.308603349,Anterior,3
A_TP_120_REP_1,Mrpl15,8.334075163,Anterior,1
A_TP_120_REP_2,Mrpl15,8.246573044,Anterior,2
A_TP_120_REP_3,Mrpl15,8.226936206,Anterior,3
A_TP_30_REP_1,Lypla1,8.271292625,Anterior,1
A_TP_30_REP_2,Lypla1,7.889117406,Anterior,2
A_TP_30_REP_3,Lypla1,8.292253865,Anterior,3
A_TP_60_REP_1,Lypla1,8.022134355,Anterior,1
A_TP_60_REP_2,Lypla1,8.030335486,Anterior,2
A_TP_60_REP_3,Lypla1,7.939031449,Anterior,3
A_TP_90_REP_1,Lypla1,8.170939468,Anterior,1
A_TP_90_REP_2,Lypla1,7.616852524,Anterior,2
A_TP_90_REP_3,Lypla1,7.820990854,Anterior,3
A_TP_120_REP_1,Lypla1,8.029321911,Anterior,1
A_TP_120_REP_2,Lypla1,8.196468273,Anterior,2
A_TP_120_REP_3,Lypla1,8.034978858,Anterior,3
A_TP_30_REP_1,Tcea1,9.581351372,Anterior,1
A_TP_30_REP_2,Tcea1,9.341783772,Anterior,2
A_TP_30_REP_3,Tcea1,9.444423373,Anterior,3
A_TP_60_REP_1,Tcea1,9.437545862,Anterior,1
A_TP_60_REP_2,Tcea1,9.64618448,Anterior,2
A_TP_60_REP_3,Tcea1,9.233021874,Anterior,3
A_TP_90_REP_1,Tcea1,9.306225395,Anterior,1
A_TP_90_REP_2,Tcea1,9.407840973,Anterior,2
A_TP_90_REP_3,Tcea1,9.258762442,Anterior,3
A_TP_120_REP_1,Tcea1,9.593824643,Anterior,1
A_TP_120_REP_2,Tcea1,9.43993155,Anterior,2
A_TP_120_REP_3,Tcea1,9.448911208,Anterior,3
A_TP_30_REP_1,Atp6v1h,7.921453014,Anterior,1
A_TP_30_REP_2,Atp6v1h,7.457022015,Anterior,2
A_TP_30_REP_3,Atp6v1h,7.91605123,Anterior,3
A_TP_60_REP_1,Atp6v1h,7.247390127,Anterior,1
A_TP_60_REP_2,Atp6v1h,7.735700896,Anterior,2
A_TP_60_REP_3,Atp6v1h,7.895550842,Anterior,3
A_TP_90_REP_1,Atp6v1h,7.951265521,Anterior,1
A_TP_90_REP_2,Atp6v1h,7.585649877,Anterior,2
A_TP_90_REP_3,Atp6v1h,7.678502469,Anterior,3
A_TP_120_REP_1,Atp6v1h,7.947184546,Anterior,1
A_TP_120_REP_2,Atp6v1h,8.096191162,Anterior,2
A_TP_120_REP_3,Atp6v1h,7.863407377,Anterior,3
A_TP_30_REP_3,Oprk1,1.145840524,Anterior,3
A_TP_60_REP_1,Oprk1,1.253869348,Anterior,1
A_TP_60_REP_2,Oprk1,2.626276168,Anterior,2
A_TP_90_REP_1,Oprk1,2.46541957,Anterior,1
A_TP_90_REP_2,Oprk1,2.867841089,Anterior,2
