sample,Gene,value,group,replicate
A_TP_30_REP_1,1110065P20Rik,20.52529992,Anterior,1
A_TP_30_REP_2,1110065P20Rik,20.50292592,Anterior,2
A_TP_30_REP_3,1110065P20Rik,20.57434256,Anterior,3
A_TP_30_REP_4,1110065P20Rik,20.72480646,Anterior,4
A_TP_60_REP_1,1110065P20Rik,20.53602795,Anterior,1
A_TP_60_REP_2,1110065P20Rik,20.72787076,Anterior,2
A_TP_60_REP_3,1110065P20Rik,20.40436557,Anterior,3
A_TP_60_REP_4,1110065P20Rik,20.57712194,Anterior,4
A_TP_90_REP_1,1110065P20Rik,20.65028497,Anterior,1
A_TP_90_REP_2,1110065P20Rik,20.29630517,Anterior,2
A_TP_90_REP_3,1110065P20Rik,20.49683556,Anterior,3
A_TP_90_REP_4,1110065P20Rik,20.73073513,Anterior,4
A_TP_120_REP_1,1110065P20Rik,20.48113139,Anterior,1
A_TP_120_REP_2,1110065P20Rik,20.52391627,Anterior,2
A_TP_120_REP_3,1110065P20Rik,20.62547553,Anterior,3
A_TP_120_REP_4,1110065P20Rik,20.48925873,Anterior,4
A_TP_30_REP_1,1700030K09Rik,14.88146246,Anterior,1
A_TP_30_REP_2,1700030K09Rik,14.51661836,Anterior,2
A_TP_30_REP_3,1700030K09Rik,15.45438268,Anterior,3
A_TP_30_REP_4,1700030K09Rik,15.57484914,Anterior,4
A_TP_60_REP_1,1700030K09Rik,15.07157047,Anterior,1
A_TP_60_REP_2,1700030K09Rik,15.27652926,Anterior,2
A_TP_60_REP_3,1700030K09Rik,15.41225751,Anterior,3
A_TP_60_REP_4,1700030K09Rik,15.69058824,Anterior,4
A_TP_90_REP_1,1700030K09Rik,15.78740134,Anterior,1
A_TP_90_REP_2,1700030K09Rik,15.71429539,Anterior,2
A_TP_90_REP_3,1700030K09Rik,16.05184128,Anterior,3
A_TP_90_REP_4,1700030K09Rik,15.59569784,Anterior,4
A_TP_120_REP_2,1700030K09Rik,16.08623381,Anterior,2
A_TP_120_REP_3,1700030K09Rik,15.9020171,Anterior,3
A_TP_120_REP_4,1700030K09Rik,15.70095224,Anterior,4
A_TP_30_REP_1,2200002D01Rik,19.00699705,Anterior,1
A_TP_30_REP_2,2200002D01Rik,18.71436884,Anterior,2
A_TP_30_REP_3,2200002D01Rik,18.43276656,Anterior,3
A_TP_30_REP_4,2200002D01Rik,19.03733799,Anterior,4
A_TP_60_REP_1,2200002D01Rik,17.9727854,Anterior,1
A_TP_60_REP_2,2200002D01Rik,18.25855577,Anterior,2
A_TP_60_REP_3,2200002D01Rik,18.2187956,Anterior,3
A_TP_60_REP_4,2200002D01Rik,18.96341499,Anterior,4
A_TP_90_REP_1,2200002D01Rik,18.58470148,Anterior,1
A_TP_90_REP_2,2200002D01Rik,18.80860261,Anterior,2
A_TP_90_REP_3,2200002D01Rik,18.79214238,Anterior,3
A_TP_90_REP_4,2200002D01Rik,19.23796391,Anterior,4
A_TP_120_REP_1,2200002D01Rik,18.85820514,Anterior,1
A_TP_120_REP_2,2200002D01Rik,18.63703621,Anterior,2
A_TP_120_REP_3,2200002D01Rik,18.82818864,Anterior,3
A_TP_120_REP_4,2200002D01Rik,18.72617562,Anterior,4
A_TP_30_REP_1,2210016L21Rik,19.68467164,Anterior,1
A_TP_30_REP_2,2210016L21Rik,19.33517158,Anterior,2
A_TP_30_REP_3,2210016L21Rik,19.55450856,Anterior,3
A_TP_30_REP_4,2210016L21Rik,20.38158536,Anterior,4
A_TP_60_REP_1,2210016L21Rik,19.0642552,Anterior,1
A_TP_60_REP_2,2210016L21Rik,19.1505934,Anterior,2
A_TP_60_REP_3,2210016L21Rik,19.50746055,Anterior,3
A_TP_60_REP_4,2210016L21Rik,19.826754,Anterior,4
A_TP_90_REP_1,2210016L21Rik,19.33515349,Anterior,1
A_TP_90_REP_2,2210016L21Rik,19.85618594,Anterior,2
A_TP_90_REP_3,2210016L21Rik,19.97272188,Anterior,3
A_TP_90_REP_4,2210016L21Rik,20.10212708,Anterior,4
A_TP_120_REP_1,2210016L21Rik,19.85398943,Anterior,1
A_TP_120_REP_2,2210016L21Rik,19.56277194,Anterior,2
A_TP_120_REP_3,2210016L21Rik,19.3347793,Anterior,3
A_TP_120_REP_4,2210016L21Rik,19.13350559,Anterior,4
A_TP_30_REP_1,2310022A10Rik,21.1649951,Anterior,1
A_TP_30_REP_2,2310022A10Rik,21.46527974,Anterior,2
A_TP_30_REP_3,2310022A10Rik,21.33023382,Anterior,3
A_TP_30_REP_4,2310022A10Rik,21.89364741,Anterior,4
A_TP_60_REP_1,2310022A10Rik,21.02435836,Anterior,1
A_TP_60_REP_2,2310022A10Rik,21.44136139,Anterior,2
