ID,Unnamed: 0,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,Ensembl_ID
Gm19938,0,0.62441604,1.0,129.88065,14.46980275,0.448094705,3.185305878,0.6170976,2.162161538,3.956657981,3.71647532,3.104911331,3.358885021,2.287653889,2.816459136,1.732455994,3.503520016,3.485529016,,4.313505679,2.240336771,ENSMUSG00000102331
Sox17,1,1.0,1.0,129.05939,90.37793348,0.892744943,3.864930022,0.15605707,2.143635586,2.546501065,4.971003326,5.55960377,2.493067672,3.660819531,4.852839431,4.730761253,6.555695275,3.72693495,3.400664669,5.345379322,2.451564095,ENSMUSG00000025902
Mrpl15,2,0.872789317,1.0,128.2007,114.2611396,0.054440853,8.247743514,0.27401435,1.698367542,8.457676973,8.131043746,8.214273095,8.142045999,8.19716899,8.100078591,8.186690096,8.262582804,8.494847501,8.216206309,8.401186361,8.14269707,ENSMUSG00000033845
Lypla1,3,1.0,1.0,131.2922,25.07496425,0.094916046,7.968086766,0.21162693,3.181312802,7.919694072,8.287436416,7.99225054,7.911813835,7.589031749,8.28777989,7.807363298,8.141006727,8.067492367,7.807923603,8.031182406,7.998844408,ENSMUSG00000025903
Tcea1,4,0.015389304,0.51987607,129.28618,20.5765344,0.130716107,9.395072711,0.72980016,0.521289796,9.521739721,9.446297156,9.572402058,9.385017147,9.235548181,9.376081215,9.223984942,9.281964601,9.317886404,9.429169858,9.429001843,9.370312603,ENSMUSG00000033813
Rgs20,5,0.89170249,1.0,128.57451,90.03838188,0.161495119,2.082743689,0.7389602,3.636406282,2.76777938,0.901124876,2.090383051,,1.843344614,2.374211761,,2.360796475,2.13759023,,1.530249604,2.635778277,ENSMUSG00000002459
Atp6v1h,6,0.072807947,0.634976765,127.954765,8.145853357,0.269708742,7.866224879,0.5702092,0.82507211,8.239274629,8.076450467,7.822649093,7.42878132,7.655364361,7.660510373,7.563443004,7.930865284,7.763257649,8.276760276,7.917465493,7.820143465,ENSMUSG00000033793
Rb1cc1,8,0.44809636,1.0,130.84871,22.90774074,0.172222101,7.852310575,0.5177815,1.739048043,8.046651082,8.067147308,7.998391751,7.637731721,7.539711685,8.045268843,7.37441394,8.065048444,7.937456142,7.487604128,8.036380205,7.938784611,ENSMUSG00000025907
4732440D04Rik,9,0.25449537,0.882291146,127.26683,87.09712417,0.7616229,2.898366932,0.3861467,1.088551562,2.546501065,1.849024298,3.969357811,0.945568387,2.901306042,3.946109787,3.657028395,4.505689461,4.223528751,2.065908618,1.938299759,3.078976438,ENSMUSG00000090031
Pcmtd1,10,0.04955076,0.525052429,131.63054,121.5079754,0.103266474,8.881197241,0.75883317,0.946507444,9.017204668,8.69629911,8.819459227,8.750337336,8.863007793,8.733004449,8.83382089,8.783021861,8.912282777,9.049951987,8.91447874,9.031371221,ENSMUSG00000051285
Gm26901,11,1.0,1.0,129.55539,26.80519482,0.576465489,4.978908528,0.16302358,0.701195862,5.347158402,4.328080581,5.438357622,5.317947825,5.31564395,5.767361568,1.732455994,4.747031032,3.72693495,5.786036699,5.591229154,4.873348557,ENSMUSG00000097797
Rrs1,12,0.55741156,1.0,131.57257,64.91531756,0.096820879,8.115966487,0.56173784,1.995504268,7.981807857,8.21346803,8.157778343,8.215791203,8.289573378,7.939944849,8.275890382,7.955116194,8.293813392,8.035250128,8.087353483,7.938784611,ENSMUSG00000061024
Mybl1,14,0.72863296,1.0,127.59295,4.061409705,0.38811744,4.235178475,0.6110805,2.518803159,3.956657981,5.086011702,4.200006791,4.353668945,1.843344614,5.272796719,4.109403312,4.045444683,4.170030975,5.294389565,3.730566862,4.40022346,ENSMUSG00000025912
Vcpip1,15,0.374544,0.986978343,131.04675,25.02808621,0.092565848,7.43876286,0.5616698,1.598208997,7.970711539,7.461392263,7.646151064,7.128170962,7.446450199,7.411432862,7.203050411,7.025325965,7.896867955,7.141871509,7.589975741,7.453957364,ENSMUSG00000045210
Sgk3,17,0.50395801,1.0,131.39796,48.09906179,0.263018538,5.021235976,0.8668073,1.867033342,5.381079714,5.048685068,5.364206081,5.249365716,5.361780648,4.898533739,5.637538796,4.953726406,4.464775393,5.511520626,5.089424684,3.313271454,ENSMUSG00000025915
Mcmdc2,18,0.909389558,1.0,130.6207,58.20900288,0.070991164,3.087936598,0.2682849,0.879673134,2.959588312,3.80867572,3.104911331,2.712746553,2.901306042,3.297777885,4.291562429,3.04245917,2.963571946,,0.959161079,2.799111682,ENSMUSG00000046101
Snhg6,19,1.0,1.0,130.77159,56.19495191,0.01569293,6.586628141,0.18809633,1.692576333,6.598048084,6.591370771,6.695524186,6.71020198,6.496656231,6.488722503,6.813789529,6.523622302,6.557153431,6.334038998,6.487885512,6.634331021,ENSMUSG00000098234
Cops5,20,0.11478544,0.744463283,131.04118,50.05404504,0.072504699,8.76655828,0.7333525,1.11310949,8.848638245,8.795401704,8.855428217,8.834680176,8.826458543,8.756459588,8.678901911,8.83947942,8.804501155,8.664432851,8.859820209,8.443676472,ENSMUSG00000025917
Cspp1,21,0.32741284,0.943724851,128.33835,61.2770476,0.103506404,8.781560153,0.66921955,1.509444752,8.780373756,8.839782788,8.685046672,8.855017348,9.015102042,8.800752615,8.9262735,8.688549612,8.764452796,8.534066294,8.747042535,8.856905191,ENSMUSG00000056763
Arfgef1,22,0.42994249,1.0,127.571976,56.8503895,0.111216366,8.980183529,0.6323827,1.70442284,8.908012809,9.062115617,8.95193367,8.883581977,9.385451964,9.191080776,8.877228612,8.688549612,9.317886404,8.709062592,8.874406002,9.059846032,ENSMUSG00000067851
