sample,Gene,value,group,replicate
P_TP_30_REP_1,Gm19938,3.956657981,Posterior,1
P_TP_30_REP_2,Gm19938,3.71647532,Posterior,2
P_TP_30_REP_3,Gm19938,3.104911331,Posterior,3
P_TP_60_REP_1,Gm19938,3.358885021,Posterior,1
P_TP_60_REP_2,Gm19938,2.287653889,Posterior,2
P_TP_60_REP_3,Gm19938,2.816459136,Posterior,3
P_TP_90_REP_1,Gm19938,1.732455994,Posterior,1
P_TP_90_REP_2,Gm19938,3.503520016,Posterior,2
P_TP_90_REP_3,Gm19938,3.485529016,Posterior,3
P_TP_120_REP_2,Gm19938,4.313505679,Posterior,2
P_TP_120_REP_3,Gm19938,2.240336771,Posterior,3
P_TP_30_REP_1,Sox17,2.546501065,Posterior,1
P_TP_30_REP_2,Sox17,4.971003326,Posterior,2
P_TP_30_REP_3,Sox17,5.55960377,Posterior,3
P_TP_60_REP_1,Sox17,2.493067672,Posterior,1
P_TP_60_REP_2,Sox17,3.660819531,Posterior,2
P_TP_60_REP_3,Sox17,4.852839431,Posterior,3
P_TP_90_REP_1,Sox17,4.730761253,Posterior,1
P_TP_90_REP_2,Sox17,6.555695275,Posterior,2
P_TP_90_REP_3,Sox17,3.72693495,Posterior,3
P_TP_120_REP_1,Sox17,3.400664669,Posterior,1
P_TP_120_REP_2,Sox17,5.345379322,Posterior,2
P_TP_120_REP_3,Sox17,2.451564095,Posterior,3
P_TP_30_REP_1,Mrpl15,8.457676973,Posterior,1
P_TP_30_REP_2,Mrpl15,8.131043746,Posterior,2
P_TP_30_REP_3,Mrpl15,8.214273095,Posterior,3
P_TP_60_REP_1,Mrpl15,8.142045999,Posterior,1
P_TP_60_REP_2,Mrpl15,8.19716899,Posterior,2
P_TP_60_REP_3,Mrpl15,8.100078591,Posterior,3
P_TP_90_REP_1,Mrpl15,8.186690096,Posterior,1
P_TP_90_REP_2,Mrpl15,8.262582804,Posterior,2
P_TP_90_REP_3,Mrpl15,8.494847501,Posterior,3
P_TP_120_REP_1,Mrpl15,8.216206309,Posterior,1
P_TP_120_REP_2,Mrpl15,8.401186361,Posterior,2
P_TP_120_REP_3,Mrpl15,8.14269707,Posterior,3
P_TP_30_REP_1,Lypla1,7.919694072,Posterior,1
P_TP_30_REP_2,Lypla1,8.287436416,Posterior,2
P_TP_30_REP_3,Lypla1,7.99225054,Posterior,3
P_TP_60_REP_1,Lypla1,7.911813835,Posterior,1
P_TP_60_REP_2,Lypla1,7.589031749,Posterior,2
P_TP_60_REP_3,Lypla1,8.28777989,Posterior,3
P_TP_90_REP_1,Lypla1,7.807363298,Posterior,1
P_TP_90_REP_2,Lypla1,8.141006727,Posterior,2
P_TP_90_REP_3,Lypla1,8.067492367,Posterior,3
P_TP_120_REP_1,Lypla1,7.807923603,Posterior,1
P_TP_120_REP_2,Lypla1,8.031182406,Posterior,2
P_TP_120_REP_3,Lypla1,7.998844408,Posterior,3
P_TP_30_REP_1,Tcea1,9.521739721,Posterior,1
P_TP_30_REP_2,Tcea1,9.446297156,Posterior,2
P_TP_30_REP_3,Tcea1,9.572402058,Posterior,3
P_TP_60_REP_1,Tcea1,9.385017147,Posterior,1
P_TP_60_REP_2,Tcea1,9.235548181,Posterior,2
P_TP_60_REP_3,Tcea1,9.376081215,Posterior,3
P_TP_90_REP_1,Tcea1,9.223984942,Posterior,1
P_TP_90_REP_2,Tcea1,9.281964601,Posterior,2
