ID,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_30_REP_4,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_60_REP_4,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_90_REP_4,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,TP_120_REP_4,name,Protein.Group,Protein.Names,Genes,First.Protein.Description,ID.1,imputed,num_NAs,P1_vs_P2_CI.L,P1_vs_P2_CI.R,P1_vs_P2_diff,P1_vs_P2_p.adj,P1_vs_P2_p.val,P1_vs_P3_CI.L,P1_vs_P3_CI.R,P1_vs_P3_diff,P1_vs_P3_p.adj,P1_vs_P3_p.val,P1_vs_P4_CI.L,P1_vs_P4_CI.R,P1_vs_P4_diff,P1_vs_P4_p.adj,P1_vs_P4_p.val,P2_vs_P3_CI.L,P2_vs_P3_CI.R,P2_vs_P3_diff,P2_vs_P3_p.adj,P2_vs_P3_p.val,P2_vs_P4_CI.L,P2_vs_P4_CI.R,P2_vs_P4_diff,P2_vs_P4_p.adj,P2_vs_P4_p.val,P3_vs_P4_CI.L,P3_vs_P4_CI.R,P3_vs_P4_diff,P3_vs_P4_p.adj,P3_vs_P4_p.val,P1_vs_P2_significant,P1_vs_P3_significant,P1_vs_P4_significant,P2_vs_P3_significant,P2_vs_P4_significant,P3_vs_P4_significant,significant,Matched_UniProt,Ensembl_ID
1110065P20Rik,0.113911623126407,0.6402875548281702,123.77029,120.1617827749956,0.1813194990828336,20.708095956428068,0.5384211,1.0048756191388062,20.80485842,20.79652795,20.53550337,20.68601652,20.61541186,20.44619543,20.26841841,20.66103251,20.59986575,20.83460455,20.56404917,20.94806565,20.94121371,20.93234702,20.67850646,20.92010895,1,V9GXF1,V9GXF1_MOUSE,1110065P20Rik,RIKEN cDNA 1110065P20 gene,V9GXF1,False,0,-0.0344120036461761,0.45033603081246,0.207962013583142,0.997396113159023,0.0870256783133009,-0.273293731259906,0.21145430319873,-0.0309197140305884,0.975436636460779,0.788390351604761,-0.404691487173666,0.0800565472849699,-0.162317469944348,0.873919224778274,0.17288072400843,-0.481255744843048,0.0034922896155877,-0.23888172761373,0.984907194367919,0.0529543979128957,-0.612653500756808,-0.127905466298172,-0.37027948352749,0.9464250175003,0.0055104907870984,-0.373771773143078,0.110976261315558,-0.13139775591376,0.859460729610988,0.264386490269481,False,False,False,False,False,False,False,V9GXF1_MOUSE,ENSMUSG00000078570
1700030K09Rik,1.0,1.0,124.15469,112.63104921183762,0.1674209506372889,15.575875232935736,0.2158636,1.9169566436937124,,15.76608587,15.6520233,15.33962445,15.01592295,15.26145261,15.21966671,15.83280253,15.48657127,,15.86261253,15.87780137,15.20573524,16.09946776,16.1336899,15.08873997,2,E9Q7C0,E9Q7C0_MOUSE,1700030K09Rik,RIKEN cDNA 1700030K09 gene,E9Q7C0,False,0,-0.192203410905599,0.846956805887665,0.327376697491033,0.998378112773963,0.198019943616084,-0.620873856340506,0.418286360452758,-0.101293747943874,0.972294721756907,0.682209143962638,-0.491650429122292,0.547509787670972,0.0279296792743402,0.970714339880669,0.909856434630596,-0.948250553831539,0.0909096629617252,-0.428670445434907,0.989676839472908,0.0985803576360007,-0.819027126613325,0.220133090179939,-0.299447018216693,0.994017391956609,0.23677822662491,-0.390356681178418,0.648803535614846,0.129223427218214,0.950024389581578,0.602125403576358,False,False,False,False,False,False,False,E9Q7C0_MOUSE,ENSMUSG00000052794
2200002D01Rik,0.05161984,0.5100977993743482,126.16915,108.4343981188504,0.2899408973965691,19.33067992304381,0.769484,1.2016444261889685,19.21818897,19.29538176,18.83216134,19.27218468,19.09998063,19.07485512,19.04430018,19.09820617,19.17433987,20.0075051,18.98474181,19.94840697,19.57772541,19.09438903,19.43758864,20.09782603,3,Q9D809,Q9D809_MOUSE,2200002D01Rik,RIKEN cDNA 2200002D01 gene,Q9D809,False,0,-0.430140177647058,0.580427502703241,0.0751436625280917,0.99924159299443,0.754476543189609,-0.879553091208827,0.131014589141472,-0.374269251033677,0.893818057158729,0.134466099441759,-0.90268693288677,0.107880747463529,-0.39740309271162,0.819073085913028,0.113781488086938,-0.954696753736918,0.0558709266133802,-0.449412913561769,0.988033679001344,0.0771674784330337,-0.977830595414861,0.0327370849354373,-0.472546755239712,0.988047127905078,0.0645993511878683,-0.528417681853092,0.482149998497206,-0.023133841677943,0.970242939785251,0.923172619252519,False,False,False,False,False,False,False,,
2210016L21Rik,0.98743969,1.0,131.7,23.056776071450308,0.0554890969402342,19.520872013707148,0.43525326,10.206932833189214,19.31288852,19.16761514,19.86097411,19.99120224,19.31952622,18.9966841,19.49927558,20.13696318,18.80165538,19.65322636,19.70316052,19.89104951,19.32127554,19.25068003,19.45840437,19.99445399,4,H3BLG8,H3BLG8_MOUSE,2210016L21Rik,Protein CUSTOS (Fragment),H3BLG8,False,0,-0.517926346817193,0.708041811695901,0.0950577324393542,0.999235463270796,0.744377679512067,-0.542087021853826,0.683881136659268,0.0708970574027212,0.975928727432479,0.807697259123627,-0.536017558444462,0.689950600068633,0.0769665208120855,0.966855715471277,0.791638381403544,-0.63714475429318,0.588823404219914,-0.024160675036633,0.997242162222565,0.933830661683523,-0.631075290883816,0.594892867629279,-0.0180912116272687,0.997172248437112,0.950425474865977,-0.606914615847183,0.619053542665912,0.0060694634093643,0.972375157502291,0.983357567388829,False,False,False,False,False,False,False,H3BLG8_MOUSE,ENSMUSG00000029559
2310022A10Rik,0.2248241305424227,0.683481673,123.56032,121.92445934743482,0.4253219440418282,21.451853884460306,0.4116233,0.8512932647108733,21.66587582,21.20547073,21.390257,21.78751361,21.20737157,21.18787038,20.57068513,20.98899798,21.62360254,21.06421173,21.62254098,21.55886331,21.60252147,21.72349802,21.48383907,21.90240205,5,G5E8E3,G5E8E3_MOUSE,2310022A10Rik,RIKEN cDNA 2310022A10 gene,G5E8E3,False,0,0.150113041486288,0.89698300506584,0.523548023276064,0.988951775865003,0.0094183000943148,-0.328460330198675,0.418409633380877,0.0449746515911009,0.975733511046316,0.799939284046645,-0.539220844801379,0.207649118778173,-0.165785863011603,0.933272902493446,0.357180255087621,-0.852008353474739,-0.105138389895187,-0.478573371684963,0.96643624084218,0.0156841850144316,-1.06276886807744,-0.315898904497891,-0.689333886287667,0.861935947629177,0.0014248215597506,-0.58419549639248,0.162674467187072,-0.210760514602704,0.846377154701286,0.246151497074024,False,False,False,False,False,False,False,G5E8E3_MOUSE,ENSMUSG00000049643
2410002F23Rik,0.1470176864279945,0.655380961,126.45095,70.43852847587283,0.1381292062299978,23.26990547988796,0.48888275,1.1917530399270275,22.74561161,23.34471448,23.25122685,23.25713869,23.3006341,23.49560616,23.48689628,23.58122202,23.18702389,23.43216742,23.41726166,23.07313045,23.20656409,23.14110772,23.32609327,23.22218972,6,Q3TE80,Q3TE80_MOUSE,2410002F23Rik,RIKEN cDNA 2410002F23 gene,Q3TE80,False,0,-0.585127711570531,-0.0477057493586749,-0.316416730464603,0.994237719750789,0.0242360312486721,-0.396433926069817,0.140988036142039,-0.127722944963889,0.948987980724243,0.325302281323543,-0.34302677319163,0.194395189020226,-0.0743157920857023,0.95521349731035,0.562547672152038,-0.0800171956052139,0.457404766606642,0.188693785500714,0.992076397035299,0.154276824428178,-0.0266100427270273,0.510811919484828,0.242100938378901,0.988890904827509,0.0738047503787696,-0.215303828227741,0.322118133984114,0.0534071528781865,0.956698238295035,0.67639968621442,False,False,False,False,False,False,False,,
2610008E11Rik,0.24196561,0.6935023845735027,124.90323,111.32221108542512,0.6771381894595905,17.47180840534468,0.6455789,1.6830699834105982,17.96426334,16.83164653,17.42713506,16.52008152,17.33408885,16.70683843,17.54760313,15.41284634,16.45868715,,17.85179609,19.21944436,19.54759419,18.04982485,16.98284354,17.56977876,7,G3X964,G3X964_MOUSE,2610008E11Rik,RIKEN cDNA 2610008E11 gene,G3X964,False,0,-0.938929720276985,1.80980457476786,0.435437427245439,0.999045303917281,0.507905207014563,-1.98991763643026,0.758816658614589,-0.615550488907836,0.952319775512586,0.353069486747051,-2.22609586973347,0.522638425311382,-0.851728722211043,0.891395286742817,0.2050595666396,-2.4253550636757,0.323379231369149,-1.05098791615328,0.990960176682506,0.123252569941913,-2.66153329697891,0.0872009980659427,-1.28716614945648,0.988012425376769,0.0642610305431379,-1.61054538082563,1.13818891421922,-0.236178233303207,0.959744230571099,0.717976007955333,False,False,False,False,False,False,False,G3X964_MOUSE,ENSMUSG00000060301
2700097O09Rik,0.49350625,0.8959751127833772,124.63976,101.16887527629991,0.082278304,22.222844109128644,0.63287246,2.2415330571506624,22.17512214,22.33212493,22.20026349,21.9633874,22.30036695,22.11443422,22.23185834,22.00918802,22.29481795,22.1456272,22.46160174,22.34636533,22.27695072,22.17479048,22.54830394,22.00513166,8,Q6PGK3,Q6PGK3_MOUSE,2700097O09Rik,RIKEN cDNA 2700097O09 gene,Q6PGK3,False,0,-0.249302121504495,0.256827325816469,0.0037626021559873,0.99935240807808,0.975012171275237,-0.397443291196985,0.108686156123979,-0.144378567536503,0.934695442371624,0.241298989631491,-0.336634436736321,0.169495010584643,-0.083569713075839,0.949480397429015,0.490421865018203,-0.401205893352972,0.104923553967992,-0.14814116969249,0.993710275839481,0.229852733259996,-0.340397038892309,0.165732408428656,-0.0873323152318264,0.995825655196771,0.47145376036234,-0.192255869199818,0.313873578121146,0.0608088544606638,0.951252184461568,0.614354430852307,False,False,False,False,False,False,False,,
2900026A02Rik,0.20693401,0.6773034456079918,124.80818,97.33281142263904,0.2270369109310543,19.25397158,0.5734309,1.606396035056295,19.02788667,19.20144175,18.68870197,19.53958462,19.73152659,19.07996318,19.20472183,18.40174946,19.92775185,19.58983452,19.16612787,19.61697121,19.19007872,19.00929045,19.39509611,19.43381877,9,A0A1B0GR85,A0A1B0GR85_MOUSE,2900026A02Rik,RIKEN cDNA 2900026A02 gene,A0A1B0GR85,False,0,-0.525779801504137,0.54560677067039,0.0099134845831265,0.999349807229708,0.968901555287019,-0.996460901174719,0.0749256709998085,-0.460767615087455,0.846694072415222,0.0863288203483095,-0.678360550234385,0.393026021940142,-0.142667264147121,0.956196107938589,0.576935619569854,-1.00637438575785,0.0650121864166819,-0.470681099670582,0.988331191021912,0.0804340674797037,-0.688274034817512,0.383112537357016,-0.152580748730248,0.996158897154091,0.551078606874065,-0.21759293514693,0.853793637027598,0.318100350940334,0.826979847323245,0.223561490659134,False,False,False,False,False,False,False,A0A1B0GR85_MOUSE,ENSMUSG00000051339
4930522L14Rik,0.2444065094493118,0.6951550148498166,124.469734,57.44892303972552,0.083797102,20.12580944477692,0.39792442,1.4931149795259422,19.99590529,20.08489151,20.10007489,20.09838122,20.15233791,20.22148238,20.44866144,20.38964401,19.72887017,20.55367653,19.89695112,20.02721572,20.31986633,20.06058393,20.07273726,19.98719245,10,E9QAG4,E9QAG4_MOUSE,4930522L14Rik,RIKEN cDNA 4930522L14 gene,E9QAG4,False,0,-0.539893243253465,0.0734568307307325,-0.233218206261366,0.997893388655783,0.125170112264339,-0.288540193801504,0.324809880182693,0.0181348431905946,0.978040925125593,0.900884708238567,-0.346956801624865,0.266393272359332,-0.0402817646327662,0.966505287989585,0.782293196115723,-0.055321987540138,0.558028086444059,0.251353049451961,0.989801620755646,0.10060576641455,-0.113738595363499,0.499611478620699,0.1929364416286,0.993444298840286,0.198661505623274,-0.365091644815459,0.248258429168738,-0.0584166078233608,0.957671578214759,0.689068638740839,False,False,False,False,False,False,False,E9QAG4_MOUSE,ENSMUSG00000072762
