sample,Gene,value,group,replicate
P_TP_30_REP_1,1110065P20Rik,20.80485842,Posterior,1
P_TP_30_REP_2,1110065P20Rik,20.79652795,Posterior,2
P_TP_30_REP_3,1110065P20Rik,20.53550337,Posterior,3
P_TP_30_REP_4,1110065P20Rik,20.68601652,Posterior,4
P_TP_60_REP_1,1110065P20Rik,20.61541186,Posterior,1
P_TP_60_REP_2,1110065P20Rik,20.44619543,Posterior,2
P_TP_60_REP_3,1110065P20Rik,20.26841841,Posterior,3
P_TP_60_REP_4,1110065P20Rik,20.66103251,Posterior,4
P_TP_90_REP_1,1110065P20Rik,20.59986575,Posterior,1
P_TP_90_REP_2,1110065P20Rik,20.83460455,Posterior,2
P_TP_90_REP_3,1110065P20Rik,20.56404917,Posterior,3
P_TP_90_REP_4,1110065P20Rik,20.94806565,Posterior,4
P_TP_120_REP_1,1110065P20Rik,20.94121371,Posterior,1
P_TP_120_REP_2,1110065P20Rik,20.93234702,Posterior,2
P_TP_120_REP_3,1110065P20Rik,20.67850646,Posterior,3
P_TP_120_REP_4,1110065P20Rik,20.92010895,Posterior,4
P_TP_30_REP_2,1700030K09Rik,15.76608587,Posterior,2
P_TP_30_REP_3,1700030K09Rik,15.6520233,Posterior,3
P_TP_30_REP_4,1700030K09Rik,15.33962445,Posterior,4
P_TP_60_REP_1,1700030K09Rik,15.01592295,Posterior,1
P_TP_60_REP_2,1700030K09Rik,15.26145261,Posterior,2
P_TP_60_REP_3,1700030K09Rik,15.21966671,Posterior,3
P_TP_60_REP_4,1700030K09Rik,15.83280253,Posterior,4
P_TP_90_REP_1,1700030K09Rik,15.48657127,Posterior,1
P_TP_90_REP_3,1700030K09Rik,15.86261253,Posterior,3
P_TP_90_REP_4,1700030K09Rik,15.87780137,Posterior,4
P_TP_120_REP_1,1700030K09Rik,15.20573524,Posterior,1
P_TP_120_REP_2,1700030K09Rik,16.09946776,Posterior,2
P_TP_120_REP_3,1700030K09Rik,16.1336899,Posterior,3
P_TP_120_REP_4,1700030K09Rik,15.08873997,Posterior,4
P_TP_30_REP_1,2200002D01Rik,19.21818897,Posterior,1
P_TP_30_REP_2,2200002D01Rik,19.29538176,Posterior,2
P_TP_30_REP_3,2200002D01Rik,18.83216134,Posterior,3
P_TP_30_REP_4,2200002D01Rik,19.27218468,Posterior,4
P_TP_60_REP_1,2200002D01Rik,19.09998063,Posterior,1
P_TP_60_REP_2,2200002D01Rik,19.07485512,Posterior,2
P_TP_60_REP_3,2200002D01Rik,19.04430018,Posterior,3
P_TP_60_REP_4,2200002D01Rik,19.09820617,Posterior,4
P_TP_90_REP_1,2200002D01Rik,19.17433987,Posterior,1
P_TP_90_REP_2,2200002D01Rik,20.0075051,Posterior,2
P_TP_90_REP_3,2200002D01Rik,18.98474181,Posterior,3
P_TP_90_REP_4,2200002D01Rik,19.94840697,Posterior,4
P_TP_120_REP_1,2200002D01Rik,19.57772541,Posterior,1
P_TP_120_REP_2,2200002D01Rik,19.09438903,Posterior,2
P_TP_120_REP_3,2200002D01Rik,19.43758864,Posterior,3
P_TP_120_REP_4,2200002D01Rik,20.09782603,Posterior,4
P_TP_30_REP_1,2210016L21Rik,19.31288852,Posterior,1
P_TP_30_REP_2,2210016L21Rik,19.16761514,Posterior,2
P_TP_30_REP_3,2210016L21Rik,19.86097411,Posterior,3
P_TP_30_REP_4,2210016L21Rik,19.99120224,Posterior,4
P_TP_60_REP_1,2210016L21Rik,19.31952622,Posterior,1
P_TP_60_REP_2,2210016L21Rik,18.9966841,Posterior,2
P_TP_60_REP_3,2210016L21Rik,19.49927558,Posterior,3
P_TP_60_REP_4,2210016L21Rik,20.13696318,Posterior,4
P_TP_90_REP_1,2210016L21Rik,18.80165538,Posterior,1
P_TP_90_REP_2,2210016L21Rik,19.65322636,Posterior,2
P_TP_90_REP_3,2210016L21Rik,19.70316052,Posterior,3
P_TP_90_REP_4,2210016L21Rik,19.89104951,Posterior,4
P_TP_120_REP_1,2210016L21Rik,19.32127554,Posterior,1
P_TP_120_REP_2,2210016L21Rik,19.25068003,Posterior,2
P_TP_120_REP_3,2210016L21Rik,19.45840437,Posterior,3
P_TP_120_REP_4,2210016L21Rik,19.99445399,Posterior,4
P_TP_30_REP_1,2310022A10Rik,21.66587582,Posterior,1
P_TP_30_REP_2,2310022A10Rik,21.20547073,Posterior,2
P_TP_30_REP_3,2310022A10Rik,21.390257,Posterior,3
P_TP_30_REP_4,2310022A10Rik,21.78751361,Posterior,4
