ID,Unnamed: 0,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,Ensembl_ID
Gm19938,0,1.0,1.0,128.74579,79.91306175,0.657553048,2.555438087,0.22202437,0.765104291,,1.487561658,1.779433,3.224675723,4.051885395,3.004053629,1.713088689,4.22916793,1.782603872,,2.53999097,2.919157383,ENSMUSG00000102331
Sox17,1,0.924022477,1.0,132.46782,40.05752563,0.433831661,7.657711987,0.26637873,1.177045644,7.536968866,8.614986792,8.091039715,7.677325315,7.894245908,7.744001316,7.463146184,7.923237642,6.985090344,6.895998122,8.03087502,6.896668522,ENSMUSG00000025902
Mrpl15,2,0.09114361,0.614829761,131.43384,94.13255245,0.240828966,8.151470707,0.73171455,1.07401419,7.965109125,7.54063425,8.18649825,8.544292171,8.055067101,7.965951615,8.440247269,8.216087332,8.500598632,8.280118942,8.342631927,8.07456281,ENSMUSG00000033845
Lypla1,3,0.98069409,1.0,128.07945,16.30758238,0.033456967,7.986493492,0.7421324,6.734953572,8.312597042,7.987507017,7.737918859,7.993123756,7.985794018,7.911965452,8.124078067,8.017497102,7.728602752,8.125614558,7.727473902,8.143162798,ENSMUSG00000025903
Tcea1,4,0.43125489,0.965993811,129.71233,14.45105051,0.157760942,9.333669943,0.5655931,1.714156088,9.640612721,9.646004169,9.147351462,9.40165314,8.862512826,9.331745355,9.061228265,9.437600282,9.237915082,9.533631478,9.291353509,9.272785956,ENSMUSG00000033813
Atp6v1h,6,0.76965529,1.0,126.01855,38.1073019,0.104590391,7.738156152,0.5273836,2.730616918,7.66688057,8.272847991,7.480609253,7.448247036,8.071877843,7.921640404,7.70289588,7.704536824,7.455272138,7.518911713,7.714300814,7.88059066,ENSMUSG00000033793
Oprk1,7,0.763938832,1.0,128.62517,79.83819195,0.492518667,1.710704212,0.3078804,0.61534417,1.55797303,1.642713189,1.779433,,,1.66027707,2.474368535,1.899743162,3.05682578,,1.768894362,0.629476465,ENSMUSG00000025905
Rb1cc1,8,1.0,1.0,130.75067,110.290963,0.034528992,7.987723806,0.20148693,7.00005319,8.276865994,7.772578201,7.802231932,8.195662954,7.894245908,7.895694938,7.908423231,8.312203379,7.70348549,8.29093156,7.864954634,7.933198221,ENSMUSG00000025907
4732440D04Rik,9,1.0,1.0,127.6364,40.62792742,0.204750499,3.25972683,0.1471492,2.91046866,,3.370040186,3.187404756,3.843681057,2.854865393,3.911214062,4.704031977,2.349705361,1.782603872,2.775346848,4.118849938,2.919157383,ENSMUSG00000090031
Pcmtd1,11,0.64738116,1.0,127.67784,58.92962269,0.057647662,8.059222359,0.5723353,2.239097684,8.373072966,7.890185519,7.843567827,8.387692803,8.003426612,8.214444409,7.908423231,8.20277408,7.986343821,7.846613129,8.157937797,8.089125957,ENSMUSG00000051285
Gm26901,12,1.0,1.0,130.85536,116.627155,0.244733604,3.994315192,0.15246795,1.038282174,4.35360466,3.456263155,2.337669373,3.843681057,4.860695682,4.058801229,3.874966092,4.425325493,2.220546216,4.861099256,4.502797855,5.316046111,ENSMUSG00000097797
Rrs1,14,0.032041,0.455829693,129.96484,26.8899115,0.313959499,7.890824608,0.7429409,0.886167399,8.020174496,8.674654683,7.932458259,8.05330304,7.691631031,7.801025048,7.305831737,7.534295594,7.870762189,7.816996357,7.962884725,7.747376456,ENSMUSG00000061024
Adhfe1,15,0.203625525,0.754405851,126.28329,44.2169406,0.696986978,2.426605193,0.41913038,0.698677033,,2.529991206,3.052891767,,4.512243325,2.551328359,,1.242287748,1.782603872,,2.65476525,1.401090044,ENSMUSG00000025911
