sample,Gene,value,group,replicate
S_TP_30_REP_2,Gm19938,1.487561658,Somite,2
S_TP_30_REP_3,Gm19938,1.779433,Somite,3
S_TP_60_REP_1,Gm19938,3.224675723,Somite,1
S_TP_60_REP_2,Gm19938,4.051885395,Somite,2
S_TP_60_REP_3,Gm19938,3.004053629,Somite,3
S_TP_90_REP_1,Gm19938,1.713088689,Somite,1
S_TP_90_REP_2,Gm19938,4.22916793,Somite,2
S_TP_90_REP_3,Gm19938,1.782603872,Somite,3
S_TP_120_REP_2,Gm19938,2.53999097,Somite,2
S_TP_120_REP_3,Gm19938,2.919157383,Somite,3
S_TP_30_REP_1,Sox17,7.536968866,Somite,1
S_TP_30_REP_2,Sox17,8.614986792,Somite,2
S_TP_30_REP_3,Sox17,8.091039715,Somite,3
S_TP_60_REP_1,Sox17,7.677325315,Somite,1
S_TP_60_REP_2,Sox17,7.894245908,Somite,2
S_TP_60_REP_3,Sox17,7.744001316,Somite,3
S_TP_90_REP_1,Sox17,7.463146184,Somite,1
S_TP_90_REP_2,Sox17,7.923237642,Somite,2
S_TP_90_REP_3,Sox17,6.985090344,Somite,3
S_TP_120_REP_1,Sox17,6.895998122,Somite,1
S_TP_120_REP_2,Sox17,8.03087502,Somite,2
S_TP_120_REP_3,Sox17,6.896668522,Somite,3
S_TP_30_REP_1,Mrpl15,7.965109125,Somite,1
S_TP_30_REP_2,Mrpl15,7.54063425,Somite,2
S_TP_30_REP_3,Mrpl15,8.18649825,Somite,3
S_TP_60_REP_1,Mrpl15,8.544292171,Somite,1
S_TP_60_REP_2,Mrpl15,8.055067101,Somite,2
S_TP_60_REP_3,Mrpl15,7.965951615,Somite,3
S_TP_90_REP_1,Mrpl15,8.440247269,Somite,1
S_TP_90_REP_2,Mrpl15,8.216087332,Somite,2
S_TP_90_REP_3,Mrpl15,8.500598632,Somite,3
S_TP_120_REP_1,Mrpl15,8.280118942,Somite,1
S_TP_120_REP_2,Mrpl15,8.342631927,Somite,2
S_TP_120_REP_3,Mrpl15,8.07456281,Somite,3
S_TP_30_REP_1,Lypla1,8.312597042,Somite,1
S_TP_30_REP_2,Lypla1,7.987507017,Somite,2
S_TP_30_REP_3,Lypla1,7.737918859,Somite,3
S_TP_60_REP_1,Lypla1,7.993123756,Somite,1
S_TP_60_REP_2,Lypla1,7.985794018,Somite,2
S_TP_60_REP_3,Lypla1,7.911965452,Somite,3
S_TP_90_REP_1,Lypla1,8.124078067,Somite,1
S_TP_90_REP_2,Lypla1,8.017497102,Somite,2
S_TP_90_REP_3,Lypla1,7.728602752,Somite,3
S_TP_120_REP_1,Lypla1,8.125614558,Somite,1
S_TP_120_REP_2,Lypla1,7.727473902,Somite,2
S_TP_120_REP_3,Lypla1,8.143162798,Somite,3
S_TP_30_REP_1,Tcea1,9.640612721,Somite,1
S_TP_30_REP_2,Tcea1,9.646004169,Somite,2
S_TP_30_REP_3,Tcea1,9.147351462,Somite,3
S_TP_60_REP_1,Tcea1,9.40165314,Somite,1
S_TP_60_REP_2,Tcea1,8.862512826,Somite,2
S_TP_60_REP_3,Tcea1,9.331745355,Somite,3
S_TP_90_REP_1,Tcea1,9.061228265,Somite,1
S_TP_90_REP_2,Tcea1,9.437600282,Somite,2
S_TP_90_REP_3,Tcea1,9.237915082,Somite,3
S_TP_120_REP_1,Tcea1,9.533631478,Somite,1
S_TP_120_REP_2,Tcea1,9.291353509,Somite,2
S_TP_120_REP_3,Tcea1,9.272785956,Somite,3
S_TP_30_REP_1,Atp6v1h,7.66688057,Somite,1
S_TP_30_REP_2,Atp6v1h,8.272847991,Somite,2
S_TP_30_REP_3,Atp6v1h,7.480609253,Somite,3
S_TP_60_REP_1,Atp6v1h,7.448247036,Somite,1
S_TP_60_REP_2,Atp6v1h,8.071877843,Somite,2
S_TP_60_REP_3,Atp6v1h,7.921640404,Somite,3
S_TP_90_REP_1,Atp6v1h,7.70289588,Somite,1
