ID,P_VALUE,Q_VALUE,PERIOD,LAG,AMPLITUDE,OFFSET,MEAN_PERIODICITY,SCATTER,TP_30_REP_1,TP_30_REP_2,TP_30_REP_3,TP_30_REP_4,TP_60_REP_1,TP_60_REP_2,TP_60_REP_3,TP_60_REP_4,TP_90_REP_1,TP_90_REP_2,TP_90_REP_3,TP_90_REP_4,TP_120_REP_1,TP_120_REP_2,TP_120_REP_3,TP_120_REP_4,name,Protein.Group,Protein.Names,Genes,First.Protein.Description,ID.1,imputed,num_NAs,S1_vs_S2_CI.L,S1_vs_S2_CI.R,S1_vs_S2_diff,S1_vs_S2_p.adj,S1_vs_S2_p.val,S1_vs_S3_CI.L,S1_vs_S3_CI.R,S1_vs_S3_diff,S1_vs_S3_p.adj,S1_vs_S3_p.val,S1_vs_S4_CI.L,S1_vs_S4_CI.R,S1_vs_S4_diff,S1_vs_S4_p.adj,S1_vs_S4_p.val,S2_vs_S3_CI.L,S2_vs_S3_CI.R,S2_vs_S3_diff,S2_vs_S3_p.adj,S2_vs_S3_p.val,S2_vs_S4_CI.L,S2_vs_S4_CI.R,S2_vs_S4_diff,S2_vs_S4_p.adj,S2_vs_S4_p.val,S3_vs_S4_CI.L,S3_vs_S4_CI.R,S3_vs_S4_diff,S3_vs_S4_p.adj,S3_vs_S4_p.val,S1_vs_S2_significant,S1_vs_S3_significant,S1_vs_S4_significant,S2_vs_S3_significant,S2_vs_S4_significant,S3_vs_S4_significant,significant,Matched_UniProt,Ensembl_ID
1110065P20Rik,0.54686025,1.0,124.78947,97.31821643156938,0.065121952,20.47905171179224,0.61180174,2.402862734360084,20.27013562,20.66953214,20.3578258,20.43253928,20.33549485,20.59099533,20.38482379,20.4595281,20.44006433,20.75294866,20.55151991,20.54287021,20.46002024,20.27821078,20.75035882,20.44618603,1,V9GXF1,V9GXF1_MOUSE,1110065P20Rik,RIKEN cDNA 1110065P20 gene,V9GXF1,False,0,-0.257291322568961,0.236886714723348,-0.0102023039228065,0.961105352241872,0.930739447411659,-0.386431582542412,0.107746454749898,-0.139342563896257,0.837527421685472,0.246715204634075,-0.298274774073769,0.195903263218541,-0.0511857554276141,0.971803054550701,0.663839541381279,-0.376229278619605,0.117948758672704,-0.12914025997345,0.789572290337223,0.281409411998389,-0.288072470150962,0.206105567141347,-0.0409834515048075,0.978990744663174,0.727525446273799,-0.158932210177512,0.335245827114798,0.0881568084686428,0.948384526244605,0.457134149563092,False,False,False,False,False,False,False,V9GXF1_MOUSE,ENSMUSG00000078570
2200002D01Rik,0.53275401,1.0,123.09483,115.58779208323934,0.1550477160159238,18.41505819773784,0.48321408,2.361110685431929,18.34727875,18.34825442,18.12202806,18.75102911,18.40192255,18.00286673,17.89240733,18.54379692,18.42035514,18.58576173,18.55737615,18.32675704,18.12378421,17.82937874,19.00629015,19.23754955,2,Q9D809,Q9D809_MOUSE,2200002D01Rik,RIKEN cDNA 2200002D01 gene,Q9D809,False,0,-0.389024252074455,0.752822660145261,0.181899204035403,0.918817589807291,0.505825629099548,-0.651338384534151,0.490508527685565,-0.0804149284242932,0.950198647958874,0.767187863536456,-0.728026534072901,0.413820378146815,-0.157103077963043,0.966815373239362,0.564736045027422,-0.833237588569554,0.308609323650161,-0.262314132459696,0.835056608267803,0.341408252898667,-0.909925738108305,0.231921174111411,-0.339002281998447,0.918563580613889,0.223776422056089,-0.647611605648608,0.494235306571108,-0.0766881495387501,0.97378501717514,0.777655599538326,False,False,False,False,False,False,False,,
2210016L21Rik,0.14861025,1.0,127.00704,66.70553515,0.2530072533295127,19.636652406288714,0.53370804,1.4914355173862954,19.10840097,19.22682089,19.36465291,20.10085509,20.1849725,19.51834456,19.82254863,20.46448357,19.70804444,19.82904064,19.52946304,19.40435436,19.49455119,19.15653929,19.4617857,20.07268686,3,H3BLG8,H3BLG8_MOUSE,2210016L21Rik,Protein CUSTOS (Fragment),H3BLG8,False,0,-1.07888374380883,-0.0159259562074152,-0.547404850008121,0.272794778697208,0.0443331327832263,-0.69902205095353,0.363935736647881,-0.167543157152824,0.923747066367202,0.510259778611497,-0.62768718610631,0.435270601495101,-0.0962082923056045,0.973413220691845,0.703875869952036,-0.151617200945409,0.911340586656002,0.379861692855297,0.565525086381128,0.147706582418204,-0.0802823360981892,0.982675451503222,0.451196557702517,0.767379699850321,0.0901302712515396,-0.460144028953486,0.602813758647926,0.0713348648472198,0.973791958306657,0.777821833339393,False,False,False,False,False,False,False,H3BLG8_MOUSE,ENSMUSG00000029559
2310022A10Rik,0.37884025,1.0,126.92905,8.080554077297183,0.164684155,21.506270962277107,0.58817375,1.976186634094625,21.05221199,21.66840846,21.70877879,21.71194175,21.30864377,21.45849864,21.22144985,21.76120911,20.67159063,21.71733142,21.48491842,21.49773231,21.54180838,21.77317513,21.73855924,21.64795145,4,G5E8E3,G5E8E3_MOUSE,2310022A10Rik,RIKEN cDNA 2310022A10 gene,G5E8E3,False,0,-0.349374757195022,0.545144561183462,0.0978849019942203,0.939834853395651,0.646247022801583,-0.254817607001861,0.639701711376623,0.192442052187381,0.893833347947408,0.372004941500599,-0.587297964213142,0.307221354165342,-0.1400383050239,0.963434074647394,0.513086319062079,-0.352702508996081,0.541816809382403,0.094557150193161,0.929327986300252,0.65741034089586,-0.685182866207362,0.209336452171122,-0.23792320701812,0.935609831861752,0.273279985616179,-0.779740016400523,0.114779301977961,-0.332480357211281,0.744582022071749,0.133286548045015,False,False,False,False,False,False,False,G5E8E3_MOUSE,ENSMUSG00000049643
2410002F23Rik,0.34292736,1.0,126.87891,42.40615071793942,0.1056401655749037,23.22371902971212,0.57077724,1.9018444266876764,23.60134833,23.01204967,23.36192831,23.20822877,23.56125312,23.24998819,23.40848857,23.10568457,23.38976619,22.87444838,22.84875012,23.31712346,23.1621316,23.27799364,23.08716008,23.10126678,5,Q3TE80,Q3TE80_MOUSE,2410002F23Rik,RIKEN cDNA 2410002F23 gene,Q3TE80,False,0,-0.361288113246864,0.290358429013494,-0.035464842116685,0.954755620174039,0.81892083940864,-0.137456539251264,0.514190003009094,0.188366731878915,0.829696534277852,0.235589615239649,-0.187072526106536,0.464574016153822,0.138750745023643,0.949919171642055,0.376801256559795,-0.101991697134579,0.549654845125779,0.2238315739956,0.606025355572312,0.162916209063156,-0.151607683989851,0.500038858270507,0.174215587140328,0.934953187379073,0.270925465143005,-0.375439257985451,0.276207284274907,-0.0496159868552724,0.972532546344847,0.748975662292042,False,False,False,False,False,False,False,,
2610008E11Rik,0.53743561,1.0,128.02415,93.72811442904067,0.3098847318530938,17.472991564547183,0.74013007,2.3772577075666863,15.77505919,18.08712438,17.45694752,17.27427534,17.15194474,17.72722154,17.65564893,17.47479512,17.09207285,19.13232831,17.60573484,17.33981988,17.62841361,17.83159831,17.00427517,17.63658247,6,G3X964,G3X964_MOUSE,2610008E11Rik,RIKEN cDNA 2610008E11 gene,G3X964,False,0,-1.34708059728453,0.63897864201154,-0.354050977636494,0.908127574423864,0.457437577904175,-1.6371669851521,0.348892254143968,-0.644137365504065,0.784150159974191,0.186042128825486,-1.36989540395,0.616163835346063,-0.37686578430197,0.956197791821627,0.4295771131724,-1.2831160075156,0.702943231780462,-0.290086387867571,0.909156657079889,0.541315965281361,-1.01584442631351,0.970214812982557,-0.0228148066654761,0.984526619601142,0.961424268240002,-0.725758038445938,1.26030120085013,0.267271581202095,0.961481520480666,0.57319145324885,False,False,False,False,False,False,False,G3X964_MOUSE,ENSMUSG00000060301
2700097O09Rik,1.0,1.0,126.407295,26.153849641740187,0.0142840611182211,22.14360425922384,0.10524147,1.0890943737123946,22.14532139,21.996662,22.1347674,22.08680102,22.28326459,22.3091471,22.27277891,21.97969139,22.02809774,21.85959412,21.91869342,22.1369277,22.282643,22.34759943,22.12683363,22.08157806,7,Q6PGK3,Q6PGK3_MOUSE,2700097O09Rik,RIKEN cDNA 2700097O09 gene,Q6PGK3,False,0,-0.326863667668131,0.0861985742160438,-0.120332546726043,0.790748108254799,0.232136127917871,-0.101471414613445,0.31159082727073,0.105059706328642,0.864329633454103,0.293936379628737,-0.325306701166737,0.0877555407174373,-0.11877558022465,0.919572335809918,0.237930117945956,0.0188611321125986,0.431923373996773,0.225392253054686,0.205319238475301,0.0345535431767337,-0.204974154440694,0.208088087443481,0.0015569665013934,0.984966477138564,0.987337457413646,-0.43036640749538,-0.0173041656112052,-0.223835286553292,0.349725816971005,0.0356349381412388,False,False,False,False,False,False,False,,
2900026A02Rik,0.556516,1.0,128.13898,20.393951600370773,0.2254488877010024,19.381784888708744,0.63041013,2.4315209573840604,19.77848137,19.27553093,19.86924056,19.24294556,19.99763817,19.08856452,18.82122789,19.31548363,19.6310496,19.00296028,19.06558316,18.93584868,19.43830829,18.92523944,20.06984002,19.34797829,8,A0A1B0GR85,A0A1B0GR85_MOUSE,2900026A02Rik,RIKEN cDNA 2900026A02 gene,A0A1B0GR85,False,0,-0.354167430400884,0.825809538760146,0.235821054179631,0.893597212581625,0.406012032411449,-0.207299308114407,0.972677661046624,0.382689176466108,0.784165035334008,0.186055114205085,-0.493780389019696,0.686196580141334,0.0962080955608187,0.974434804658958,0.731923366192771,-0.443120362294038,0.736856606866993,0.146868122286477,0.920842372226621,0.602032196706029,-0.729601443199328,0.450375525961703,-0.139612958618812,0.974886963153896,0.619926317911063,-0.876469565485805,0.303507403675225,-0.28648108090529,0.915932894358043,0.315583520946222,False,False,False,False,False,False,False,A0A1B0GR85_MOUSE,ENSMUSG00000051339
4930522L14Rik,0.72556324,1.0,127.702965,91.46051141696684,0.081988613,20.06193551302592,0.7414557,3.0595427603609804,19.99920841,20.17673818,19.60286825,20.13246154,20.32236994,19.85172143,20.11349002,20.00434647,20.19233329,20.2635803,20.27809384,19.85162059,20.10497373,19.80012484,20.22085996,20.15284245,9,E9QAG4,E9QAG4_MOUSE,4930522L14Rik,RIKEN cDNA 4930522L14 gene,E9QAG4,False,0,-0.414948523799994,0.224622782417833,-0.0951628706910803,0.924025391983482,0.533886286173008,-0.488373562437827,0.15119774378,-0.168587909328913,0.855971715637146,0.277419861518849,-0.411666799359229,0.227904506858598,-0.0918811462503157,0.965784533599001,0.547895858348373,-0.393210691746746,0.246360614471081,-0.0734250386378328,0.925388480351733,0.630269894503935,-0.316503928668149,0.323067377549678,0.0032817244407645,0.984890658729717,0.982763343101002,-0.243078890030316,0.396492416187511,0.0767067630785974,0.96480846298154,0.615197576669259,False,False,False,False,False,False,False,E9QAG4_MOUSE,ENSMUSG00000072762
4933427D14Rik,0.46253601,1.0,132.00783,33.61551730341567,0.085065167,18.33817986,0.79081297,2.1782541575964087,18.38949589,18.80145005,18.24669368,18.40487704,18.24894297,18.25611305,18.37435813,18.47205361,18.01756058,18.09221925,18.55113397,18.45163643,18.29084621,18.07043482,18.29742856,18.43663087,10,A0A0N4SUT6,A0A0N4SUT6_MOUSE,4933427D14Rik,RIKEN cDNA 4933427D14 gene,A0A0N4SUT6,False,0,-0.179820058735641,0.425344505233359,0.122762223248859,0.891347198981532,0.39916591365463,-0.120090673186334,0.485073890782666,0.182491608798166,0.814866815401993,0.216957937663005,-0.115788232958189,0.489376331010811,0.186794049026311,0.907050130183072,0.206891819202055,-0.242852896435193,0.362311667533807,0.0597293855493071,0.932155717281754,0.678669292531667,-0.238550456207048,0.366614107761952,0.0640318257774517,0.97647119736996,0.657103932625515,-0.298279841756355,0.306884722212645,0.0043024402281446,0.980127473248273,0.976119314626958,False,False,False,False,False,False,False,A0A0N4SUT6_MOUSE,ENSMUSG00000107877
