sample,Gene,value,group,replicate
S_TP_30_REP_1,1110065P20Rik,20.27013562,Somite,1
S_TP_30_REP_2,1110065P20Rik,20.66953214,Somite,2
S_TP_30_REP_3,1110065P20Rik,20.3578258,Somite,3
S_TP_30_REP_4,1110065P20Rik,20.43253928,Somite,4
S_TP_60_REP_1,1110065P20Rik,20.33549485,Somite,1
S_TP_60_REP_2,1110065P20Rik,20.59099533,Somite,2
S_TP_60_REP_3,1110065P20Rik,20.38482379,Somite,3
S_TP_60_REP_4,1110065P20Rik,20.4595281,Somite,4
S_TP_90_REP_1,1110065P20Rik,20.44006433,Somite,1
S_TP_90_REP_2,1110065P20Rik,20.75294866,Somite,2
S_TP_90_REP_3,1110065P20Rik,20.55151991,Somite,3
S_TP_90_REP_4,1110065P20Rik,20.54287021,Somite,4
S_TP_120_REP_1,1110065P20Rik,20.46002024,Somite,1
S_TP_120_REP_2,1110065P20Rik,20.27821078,Somite,2
S_TP_120_REP_3,1110065P20Rik,20.75035882,Somite,3
S_TP_120_REP_4,1110065P20Rik,20.44618603,Somite,4
S_TP_30_REP_1,2200002D01Rik,18.34727875,Somite,1
S_TP_30_REP_2,2200002D01Rik,18.34825442,Somite,2
S_TP_30_REP_3,2200002D01Rik,18.12202806,Somite,3
S_TP_30_REP_4,2200002D01Rik,18.75102911,Somite,4
S_TP_60_REP_1,2200002D01Rik,18.40192255,Somite,1
S_TP_60_REP_2,2200002D01Rik,18.00286673,Somite,2
S_TP_60_REP_3,2200002D01Rik,17.89240733,Somite,3
S_TP_60_REP_4,2200002D01Rik,18.54379692,Somite,4
S_TP_90_REP_1,2200002D01Rik,18.42035514,Somite,1
S_TP_90_REP_2,2200002D01Rik,18.58576173,Somite,2
S_TP_90_REP_3,2200002D01Rik,18.55737615,Somite,3
S_TP_90_REP_4,2200002D01Rik,18.32675704,Somite,4
S_TP_120_REP_1,2200002D01Rik,18.12378421,Somite,1
S_TP_120_REP_2,2200002D01Rik,17.82937874,Somite,2
S_TP_120_REP_3,2200002D01Rik,19.00629015,Somite,3
S_TP_120_REP_4,2200002D01Rik,19.23754955,Somite,4
S_TP_30_REP_1,2210016L21Rik,19.10840097,Somite,1
