sample,Gene,value,group,replicate
A_repl1,1110065P20Rik,22.7617116966596,Anterior,1
A_repl2,1110065P20Rik,22.5524493203229,Anterior,2
A_repl3,1110065P20Rik,22.1513423932751,Anterior,3
P_repl1,1110065P20Rik,22.181595215282,Posterior,1
P_repl2,1110065P20Rik,22.4577208473809,Posterior,2
P_repl3,1110065P20Rik,22.6415009658009,Posterior,3
S_repl1,1110065P20Rik,22.8222623953989,Somite,1
S_repl2,1110065P20Rik,22.6809496420237,Somite,2
S_repl3,1110065P20Rik,22.5699056155489,Somite,3
A_repl1,2310009B15Rik,18.4693193336885,Anterior,1
A_repl2,2310009B15Rik,18.824489490792,Anterior,2
A_repl3,2310009B15Rik,18.4284328065507,Anterior,3
P_repl1,2310009B15Rik,24.0169570280065,Posterior,1
P_repl2,2310009B15Rik,18.3175800186371,Posterior,2
P_repl3,2310009B15Rik,18.3216774975813,Posterior,3
S_repl1,2310009B15Rik,18.7684777146552,Somite,1
S_repl2,2310009B15Rik,18.8617991230346,Somite,2
S_repl3,2310009B15Rik,18.740242271984,Somite,3
A_repl1,2310022A10Rik,23.8973856742908,Anterior,1
A_repl2,2310022A10Rik,23.3914868237489,Anterior,2
A_repl3,2310022A10Rik,24.0497545025529,Anterior,3
P_repl1,2310022A10Rik,24.1808456955803,Posterior,1
P_repl2,2310022A10Rik,23.6059727084248,Posterior,2
P_repl3,2310022A10Rik,23.5299084853789,Posterior,3
S_repl1,2310022A10Rik,23.4193858475634,Somite,1
S_repl2,2310022A10Rik,23.3438576092821,Somite,2
S_repl3,2310022A10Rik,23.4358311134862,Somite,3
A_repl1,2310061I04Rik,19.6017008151705,Anterior,1
A_repl2,2310061I04Rik,20.2393954315129,Anterior,2
A_repl3,2310061I04Rik,20.4341526176367,Anterior,3
P_repl1,2310061I04Rik,20.2829561320623,Posterior,1
P_repl2,2310061I04Rik,20.2380850228245,Posterior,2
P_repl3,2310061I04Rik,19.6920822834525,Posterior,3
S_repl1,2310061I04Rik,20.0590453312029,Somite,1
S_repl2,2310061I04Rik,20.1981938186712,Somite,2
S_repl3,2310061I04Rik,20.1367041732221,Somite,3
A_repl1,2410002F23Rik,25.6979018467604,Anterior,1
A_repl2,2410002F23Rik,25.8476730669753,Anterior,2
A_repl3,2410002F23Rik,25.7802596825683,Anterior,3
P_repl1,2410002F23Rik,25.5873001718817,Posterior,1
P_repl2,2410002F23Rik,25.6770725485396,Posterior,2
P_repl3,2410002F23Rik,25.7952275731986,Posterior,3
S_repl1,2410002F23Rik,25.9816020333667,Somite,1
S_repl2,2410002F23Rik,25.931760097378,Somite,2
S_repl3,2410002F23Rik,25.8448879343996,Somite,3
A_repl1,2610008E11Rik,18.2881994667705,Anterior,1
A_repl2,2610008E11Rik,18.337587923521,Anterior,2
A_repl3,2610008E11Rik,19.0535948237378,Anterior,3
P_repl1,2610008E11Rik,18.3583646595043,Posterior,1
P_repl2,2610008E11Rik,17.8468860465351,Posterior,2
P_repl3,2610008E11Rik,18.1181474193137,Posterior,3
S_repl1,2610008E11Rik,18.4192096845102,Somite,1
S_repl2,2610008E11Rik,18.8919801090286,Somite,2
S_repl3,2610008E11Rik,18.7230092511307,Somite,3
A_repl1,2700049A03Rik,24.1497504773133,Anterior,1
A_repl2,2700049A03Rik,23.1449637956423,Anterior,2
A_repl3,2700049A03Rik,24.5931999489792,Anterior,3
P_repl1,2700049A03Rik,24.0502847460988,Posterior,1
P_repl2,2700049A03Rik,24.0527721748728,Posterior,2
P_repl3,2700049A03Rik,24.5089491555101,Posterior,3
S_repl1,2700049A03Rik,24.1215706967955,Somite,1
S_repl2,2700049A03Rik,23.8002395016727,Somite,2
S_repl3,2700049A03Rik,24.2681043528968,Somite,3
A_repl1,Mettl28,23.905900851367,Anterior,1
A_repl2,Mettl28,24.0281002250041,Anterior,2
A_repl3,Mettl28,23.882419015378,Anterior,3
P_repl1,Mettl28,23.8344432438589,Posterior,1
P_repl2,Mettl28,23.9930508739053,Posterior,2
P_repl3,Mettl28,23.9994680921431,Posterior,3
S_repl1,Mettl28,24.0004608663927,Somite,1
S_repl2,Mettl28,23.8953477722703,Somite,2
S_repl3,Mettl28,23.8521090978842,Somite,3
A_repl1,2810408A11Rik,19.9882870546206,Anterior,1
A_repl2,2810408A11Rik,19.2407627557183,Anterior,2
A_repl3,2810408A11Rik,18.8928153808318,Anterior,3
P_repl1,2810408A11Rik,20.004329196766,Posterior,1
P_repl2,2810408A11Rik,19.6931748850803,Posterior,2
P_repl3,2810408A11Rik,19.405661159402,Posterior,3
S_repl1,2810408A11Rik,19.2795033671633,Somite,1
S_repl2,2810408A11Rik,19.3228663833187,Somite,2
S_repl3,2810408A11Rik,19.5080813788298,Somite,3
A_repl1,2900026A02Rik,22.2708897118505,Anterior,1
A_repl2,2900026A02Rik,22.0704225105337,Anterior,2
A_repl3,2900026A02Rik,22.3175382563984,Anterior,3
P_repl1,2900026A02Rik,22.5216758695659,Posterior,1
P_repl2,2900026A02Rik,22.688708852002,Posterior,2
P_repl3,2900026A02Rik,22.6765093220509,Posterior,3
S_repl1,2900026A02Rik,22.5267995708518,Somite,1
S_repl2,2900026A02Rik,22.6412493208025,Somite,2
S_repl3,2900026A02Rik,22.7788672799159,Somite,3
A_repl1,4930522L14Rik,22.7187178319446,Anterior,1
A_repl2,4930522L14Rik,22.084987662375,Anterior,2
A_repl3,4930522L14Rik,22.5190423769672,Anterior,3
P_repl1,4930522L14Rik,22.8146372455051,Posterior,1
P_repl2,4930522L14Rik,23.0451324602767,Posterior,2
P_repl3,4930522L14Rik,22.8064435767624,Posterior,3
S_repl1,4930522L14Rik,22.3777664382868,Somite,1
S_repl2,4930522L14Rik,22.1014464222828,Somite,2
S_repl3,4930522L14Rik,22.5349517624105,Somite,3
A_repl1,4933427D14Rik,22.357998368732,Anterior,1
A_repl2,4933427D14Rik,22.254065539156,Anterior,2
A_repl3,4933427D14Rik,22.1439574373774,Anterior,3
P_repl1,4933427D14Rik,22.3206128839354,Posterior,1
P_repl2,4933427D14Rik,22.22077034633,Posterior,2
P_repl3,4933427D14Rik,22.1846766806656,Posterior,3
S_repl1,4933427D14Rik,22.2250615507597,Somite,1
S_repl2,4933427D14Rik,22.0910668119143,Somite,2
S_repl3,4933427D14Rik,22.1184161356884,Somite,3
A_repl1,4933427D14Rik,21.2236973421953,Anterior,1
A_repl2,4933427D14Rik,21.2110186796462,Anterior,2
A_repl3,4933427D14Rik,21.4602310360405,Anterior,3
P_repl1,4933427D14Rik,20.9351554035464,Posterior,1
P_repl2,4933427D14Rik,20.7034550885641,Posterior,2
P_repl3,4933427D14Rik,21.05486527666,Posterior,3
S_repl1,4933427D14Rik,21.272364005392,Somite,1
S_repl2,4933427D14Rik,21.1637551034315,Somite,2
S_repl3,4933427D14Rik,21.2815045805089,Somite,3
A_repl1,5031439G07Rik,22.7284655842794,Anterior,1
A_repl2,5031439G07Rik,22.8057578355274,Anterior,2
A_repl3,5031439G07Rik,22.9236841246747,Anterior,3
P_repl1,5031439G07Rik,22.6931705818664,Posterior,1
P_repl2,5031439G07Rik,22.6754209149196,Posterior,2
P_repl3,5031439G07Rik,22.7175468659237,Posterior,3
S_repl1,5031439G07Rik,22.8317369218807,Somite,1
S_repl2,5031439G07Rik,22.9223811664,Somite,2
S_repl3,5031439G07Rik,22.9422962307929,Somite,3
A_repl1,5730507C01Rik,21.6599772625837,Anterior,1
A_repl2,5730507C01Rik,21.0867991789509,Anterior,2
A_repl3,5730507C01Rik,22.1482752835052,Anterior,3
P_repl1,5730507C01Rik,22.3087413999735,Posterior,1
P_repl2,5730507C01Rik,22.0313208813493,Posterior,2
P_repl3,5730507C01Rik,21.3295094228665,Posterior,3
S_repl1,5730507C01Rik,21.505536822185,Somite,1
S_repl2,5730507C01Rik,21.5286113680288,Somite,2
S_repl3,5730507C01Rik,21.7735084531702,Somite,3
A_repl1,Zfp696,20.5164999205321,Anterior,1
A_repl2,Zfp696,20.4794975902826,Anterior,2
A_repl3,Zfp696,20.4500003608054,Anterior,3
P_repl1,Zfp696,20.6511221271528,Posterior,1
P_repl2,Zfp696,20.5688076797753,Posterior,2
P_repl3,Zfp696,20.5966426927869,Posterior,3
S_repl1,Zfp696,20.8057103381637,Somite,1
S_repl2,Zfp696,20.6627715589988,Somite,2
S_repl3,Zfp696,20.344664849918,Somite,3
A_repl1,9430015G10Rik,21.5288627729067,Anterior,1
A_repl2,9430015G10Rik,21.1032693139707,Anterior,2
A_repl3,9430015G10Rik,21.4235321085678,Anterior,3
P_repl1,9430015G10Rik,21.2715042238437,Posterior,1
P_repl2,9430015G10Rik,21.258441306537,Posterior,2
P_repl3,9430015G10Rik,21.2725199027216,Posterior,3
S_repl1,9430015G10Rik,21.5717674421772,Somite,1
S_repl2,9430015G10Rik,21.3729557696671,Somite,2
S_repl3,9430015G10Rik,21.2220738778917,Somite,3
A_repl1,A1bg,24.2698319940717,Anterior,1
A_repl2,A1bg,27.2851609486197,Anterior,2
A_repl3,A1bg,26.4119962357751,Anterior,3
P_repl1,A1bg,24.4769195687717,Posterior,1
P_repl2,A1bg,28.3477806072868,Posterior,2
P_repl3,A1bg,26.851658977725,Posterior,3
S_repl1,A1bg,24.3842935460527,Somite,1
S_repl2,A1bg,26.8470546708322,Somite,2
S_repl3,A1bg,26.6376867670822,Somite,3
A_repl1,Pzp2,21.8054183316796,Anterior,1
A_repl2,Pzp2,23.9806352080455,Anterior,2
A_repl3,Pzp2,22.9487041748613,Anterior,3
P_repl1,Pzp2,22.1812889368889,Posterior,1
P_repl2,Pzp2,25.0310580116536,Posterior,2
P_repl3,Pzp2,23.634331873373,Posterior,3
S_repl1,Pzp2,21.7391859276278,Somite,1
S_repl2,Pzp2,23.5133314741206,Somite,2
S_repl3,Pzp2,23.1962957974804,Somite,3
A_repl1,A630089N07Rik,23.9065404370116,Anterior,1
A_repl2,A630089N07Rik,21.0706746120503,Anterior,2
A_repl3,A630089N07Rik,21.1728664948372,Anterior,3
P_repl1,A630089N07Rik,20.7420740882075,Posterior,1
P_repl2,A630089N07Rik,19.8505490708273,Posterior,2
P_repl3,A630089N07Rik,20.151935219428,Posterior,3
S_repl1,A630089N07Rik,21.2350209256276,Somite,1
S_repl2,A630089N07Rik,20.0472965524911,Somite,2
S_repl3,A630089N07Rik,21.3728856652908,Somite,3
A_repl1,Aaas,25.9168034599531,Anterior,1
A_repl2,Aaas,26.0984099619602,Anterior,2
A_repl3,Aaas,25.899834585527,Anterior,3
P_repl1,Aaas,25.7798457212421,Posterior,1
P_repl2,Aaas,25.6946362506263,Posterior,2
P_repl3,Aaas,25.8363147492851,Posterior,3
S_repl1,Aaas,25.8724057306153,Somite,1
S_repl2,Aaas,25.8237240110561,Somite,2
S_repl3,Aaas,25.9104251097939,Somite,3
A_repl1,Aacs,25.7020971401927,Anterior,1
A_repl2,Aacs,25.8433982959234,Anterior,2
A_repl3,Aacs,25.9130330348511,Anterior,3
P_repl1,Aacs,26.1276812109262,Posterior,1
P_repl2,Aacs,25.8954437908213,Posterior,2
P_repl3,Aacs,26.011130417621,Posterior,3
S_repl1,Aacs,25.8041455404613,Somite,1
S_repl2,Aacs,25.8044369394679,Somite,2
S_repl3,Aacs,25.8036367476431,Somite,3
A_repl1,Aadat,13.9113547526101,Anterior,1
A_repl2,Aadat,14.3813917863548,Anterior,2
A_repl3,Aadat,14.9082470527449,Anterior,3
P_repl1,Aadat,16.2510460143858,Posterior,1
P_repl2,Aadat,16.4591031371308,Posterior,2
P_repl3,Aadat,15.6160688153298,Posterior,3
S_repl1,Aadat,15.4208475245682,Somite,1
S_repl2,Aadat,15.0943236188518,Somite,2
S_repl3,Aadat,14.817862058262,Somite,3
A_repl1,Aagab,24.1606606119016,Anterior,1
A_repl2,Aagab,24.0273535976388,Anterior,2
A_repl3,Aagab,23.8575674935179,Anterior,3
P_repl1,Aagab,24.2055287438759,Posterior,1
P_repl2,Aagab,24.4086158721869,Posterior,2
P_repl3,Aagab,23.9660194395777,Posterior,3
S_repl1,Aagab,23.5746257024136,Somite,1
S_repl2,Aagab,23.7045248813265,Somite,2
S_repl3,Aagab,23.6838053515181,Somite,3
A_repl1,Aak1,25.0881029434057,Anterior,1
A_repl2,Aak1,24.9717873347831,Anterior,2
A_repl3,Aak1,24.8593983161205,Anterior,3
P_repl1,Aak1,25.0375205624397,Posterior,1
P_repl2,Aak1,25.1263175379662,Posterior,2
P_repl3,Aak1,25.1302900688478,Posterior,3
S_repl1,Aak1,24.9402443944685,Somite,1
S_repl2,Aak1,24.9592273859255,Somite,2
S_repl3,Aak1,25.0235585074601,Somite,3
A_repl1,Aak1,24.82177928414,Anterior,1
A_repl2,Aak1,24.7286947138411,Anterior,2
A_repl3,Aak1,24.6571492112704,Anterior,3
P_repl1,Aak1,24.6788532243403,Posterior,1
P_repl2,Aak1,24.8870021363713,Posterior,2
P_repl3,Aak1,24.7967609871638,Posterior,3
S_repl1,Aak1,24.6724849141027,Somite,1
S_repl2,Aak1,24.752156521112,Somite,2
S_repl3,Aak1,24.7748653493584,Somite,3
A_repl1,Aamdc,25.9253155867165,Anterior,1
