sample,Gene,value,group,replicate
P-I,Xkr4,2.560040056742831,Posterior,1
P-I,Gm19938,3.061060876796761,Posterior,1
P-I,Cyp4a10,1.786019294989321,Posterior,1
P-I,Sox17,7.547628296340262,Posterior,1
P-I,Mrpl15,9.763271961419184,Posterior,1
P-I,Lypla1,10.097417589421967,Posterior,1
P-I,Tcea1,11.095952261419127,Posterior,1
P-I,Rgs20,1.786019294989321,Posterior,1
P-I,Atp6v1h,9.771379097214329,Posterior,1
P-I,Oprk1,2.2243275660477977,Posterior,1
P-I,Npbwr1,0.0,Posterior,1
P-I,Rb1cc1,8.045632352039792,Posterior,1
P-I,4732440D04Rik,5.140806635757834,Posterior,1
P-I,Pcmtd1,10.160508909056606,Posterior,1
P-I,Gm26901,7.184563943482679,Posterior,1
P-I,Gm30414,2.2243275660477977,Posterior,1
P-I,Sntg1,1.153357967241397,Posterior,1
P-I,Rrs1,10.723275271610953,Posterior,1
P-I,Adhfe1,1.153357967241397,Posterior,1
P-I,2610203C22Rik,5.089852937149048,Posterior,1
P-I,Mybl1,4.080319286650043,Posterior,1
P-I,Vcpip1,8.37314243494416,Posterior,1
P-I,1700034P13Rik,3.4322220030407626,Posterior,1
P-I,Sgk3,6.918653313738133,Posterior,1
P-I,Mcmdc2,4.671644549276534,Posterior,1
P-I,Snhg6,7.449990830051535,Posterior,1
P-I,Tcf24,2.2243275660477977,Posterior,1
P-I,Cops5,9.765303020386948,Posterior,1
P-I,Cspp1,9.703091877382066,Posterior,1
P-I,Arfgef1,10.397637711186865,Posterior,1
P-I,Cpa6,6.068514929456025,Posterior,1
P-I,Prex2,7.956002332781356,Posterior,1
P-I,A830018L16Rik,3.727169133416919,Posterior,1
P-I,Gm17644,1.153357967241397,Posterior,1
P-I,Sulf1,10.11981475094028,Posterior,1
P-I,Slco5a1,5.901274502124928,Posterior,1
P-I,Prdm14,1.153357967241397,Posterior,1
P-I,Ncoa2,8.12369932303044,Posterior,1
P-I,Gm29570,2.2243275660477977,Posterior,1
P-I,Ncoa3,11.849823693862367,Posterior,1
P-I,Lactb2,7.044407083723684,Posterior,1
P-I,Eya1,5.777936380195814,Posterior,1
P-I,Gm9947,0.0,Posterior,1
P-I,Msc,1.153357967241397,Posterior,1
P-I,Trpa1,0.0,Posterior,1
P-I,Kcnb2,4.671644549276534,Posterior,1
P-I,Terf1,9.555981824072173,Posterior,1
P-I,Sbspon,2.560040056742831,Posterior,1
P-I,4930444P10Rik,2.560040056742831,Posterior,1
P-I,Rpl7,15.030632263022342,Posterior,1
P-I,Rdh10,8.14881030792164,Posterior,1
P-I,Gm28095,2.8321914300766866,Posterior,1
P-I,Stau2,7.725068628219268,Posterior,1
P-I,Ube2w,8.490742091311311,Posterior,1
P-I,Eloc,11.076454074284378,Posterior,1
P-I,D030040B21Rik,2.2243275660477977,Posterior,1
P-I,Tmem70,8.70058238973891,Posterior,1
P-I,Ly96,5.037033540265596,Posterior,1
P-I,Jph1,3.727169133416919,Posterior,1
P-I,Gdap1,3.061060876796761,Posterior,1
P-I,Gm28154,0.0,Posterior,1
P-I,Gm16070,3.061060876796761,Posterior,1
P-I,Crispld1,7.4600573472367895,Posterior,1
P-I,Tfap2b,5.959202319876463,Posterior,1
P-I,Pkhd1,1.153357967241397,Posterior,1
P-I,Lincmd1,0.0,Posterior,1
P-I,Mcm3,10.46416752108312,Posterior,1
P-I,6720483E21Rik,1.786019294989321,Posterior,1
P-I,Paqr8,6.375539597139577,Posterior,1
P-I,Efhc1,3.061060876796761,Posterior,1
P-I,Tram2,8.495643940254341,Posterior,1
P-I,Tmem14a,6.194447580817842,Posterior,1
P-I,Gsta3,0.0,Posterior,1
P-I,Kcnq5,2.560040056742831,Posterior,1
P-I,Rims1,2.560040056742831,Posterior,1
P-I,Gm29107,3.061060876796761,Posterior,1
P-I,Ogfrl1,9.94985339391093,Posterior,1
P-I,B3gat2,0.0,Posterior,1
P-I,Smap1,10.245898911409308,Posterior,1
P-I,Sdhaf4,9.664435408955594,Posterior,1
P-I,Fam135a,8.783087762310126,Posterior,1
P-I,Col9a1,6.145385598264218,Posterior,1
P-I,Col19a1,0.0,Posterior,1
P-I,Lmbrd1,7.956002332781356,Posterior,1
P-I,Gm28237,0.0,Posterior,1
P-I,Adgrb3,3.4322220030407626,Posterior,1
